orderNumber,orderDate,arrivalDate,email,orderStatus,shipType,shipPrice,total order price,isLate,warehouseID
37,4/6/2020,10/6/2020,rhadwinp@ox.ac.uk,Complete,Regular,$5 ,$571 ,0,1
38,19/01/2022,29/01/2022,bchrstine65@bluehost.com,Complete,Regular,$5 ,"$1,797 ",1,1
39,2/12/2020,5/12/2020,scottam3q@aol.com,Complete,Regular,$5 ,"$3,248 ",0,6
40,5/3/2022,13/03/2022,sbritcher6i@a8.net,Complete,Regular,$5 ,"$3,438 ",0,3
41,4/2/2022,11/2/2022,fdechelle58@quantcast.com,Complete,Regular,$5 ,$743 ,0,3
42,4/1/2021,14/01/2021,lmayfield37@weibo.com,Complete,Regular,$5 ,"$3,616 ",1,1
43,8/10/2020,18/10/2020,cluxon5j@posterous.com,Complete,Regular,$5 ,$118 ,1,3
44,19/12/2020,22/12/2020,asillitoe1v@ucsd.edu,Complete,Regular,$5 ,"$1,242 ",0,1
45,21/03/2021,2/4/2021,pmackaile2x@telegraph.co.uk,Cancelled,Regular,$5 ,$136 ,1,2
46,17/05/2021,19/05/2021,vchamley52@nps.gov,Complete,Fast,$10 ,$419 ,0,7
47,18/01/2021,26/01/2021,lskarman4y@cbslocal.com,Complete,Regular,$5 ,$357 ,0,7
48,17/04/2021,21/04/2021,rskinner6l@sbwire.com,Complete,Regular,$5 ,"$1,373 ",0,1
49,23/10/2021,26/10/2021,asillitoe1v@ucsd.edu,Complete,Fast,$10 ,$437 ,0,1
50,22/09/2021,3/10/2021,scottam3q@aol.com,Cancelled,Regular,$5 ,"$5,190 ",1,2
51,21/03/2022,22/03/2022,rmeijer5q@freewebs.com,Complete,Regular,$5 ,$67 ,0,2
52,7/12/2021,11/12/2021,orakestraw2n@dailymotion.com,Complete,Regular,$5 ,"$2,077 ",0,1
53,29/11/2022,13/12/2022,edoblin5m@networksolutions.com,Cancelled,Regular,$5 ,"$1,074 ",1,2
54,14/09/2021,15/09/2021,vchamley52@nps.gov,Complete,Fast,$10 ,$923 ,0,1
55,12/11/2022,23/11/2022,etimbridge4s@cyberchimps.com,Cancelled,Regular,$5 ,"$2,080 ",1,2
56,5/8/2021,9/8/2021,cmoreingv@army.mil,Complete,Regular,$5 ,$287 ,0,6
57,15/12/2021,28/12/2021,bsivills3k@yellowbook.com,Refund,Regular,$5 ,"$4,664 ",1,4
58,6/11/2020,8/11/2020,imacduffie3h@goodreads.com,Complete,Fast,$10 ,$732 ,0,7
59,12/2/2023,14/02/2023,sdunnan45@china.com.cn,Complete,Regular,$5 ,"$2,146 ",0,6
60,26/03/2021,6/4/2021,cstammirs6q@google.com.au,Cancelled,Regular,$5 ,$466 ,1,3
61,31/03/2022,10/4/2022,jaddy6m@list-manage.com,Complete,Regular,$5 ,"$1,079 ",1,3
62,7/8/2022,11/8/2022,sdunnan45@china.com.cn,Complete,Regular,$5 ,$914 ,0,2
63,28/10/2020,3/11/2020,scottam3q@aol.com,Complete,Regular,$5 ,$717 ,0,3
64,29/04/2022,2/5/2022,rmeijer5q@freewebs.com,Complete,Regular,$5 ,$141 ,0,6
65,31/12/2020,5/1/2021,fgymblett6t@cisco.com,Complete,Regular,$5 ,$62 ,0,5
66,19/01/2023,21/01/2023,lbonnesen6x@scientificamerican.com,Complete,Fast,$10 ,"$5,267 ",0,1
67,1/10/2021,10/10/2021,fjozefowicz4h@hibu.com,Complete,Regular,$5 ,"$2,489 ",0,1
68,21/10/2020,2/11/2020,ksparke1o@foxnews.com,Refund,Regular,$5 ,$393 ,1,7
69,1/12/2022,4/12/2022,scottam3q@aol.com,Complete,Regular,$5 ,$328 ,0,7
70,22/03/2023,25/03/2023,hmcvee5c@usgs.gov,Complete,Regular,$5 ,$407 ,0,7
71,9/12/2021,20/12/2021,smacdiarmid1g@pagesperso-orange.fr,Refund,Regular,$5 ,"$1,284 ",1,7
72,10/1/2021,17/01/2021,aruperto3v@reference.com,Complete,Regular,$5 ,$373 ,0,1
73,14/08/2020,16/08/2020,fhimsworth7@abc.net.au,Complete,Regular,$5 ,$470 ,0,6
74,22/02/2022,28/02/2022,smckerley18@whitehouse.gov,Complete,Regular,$5 ,$865 ,0,7
75,30/08/2020,1/9/2020,jfillary3a@miitbeian.gov.cn,Complete,Fast,$10 ,$84 ,0,7
76,26/06/2022,6/7/2022,cmellsop5o@dropbox.com,Complete,Regular,$5 ,$328 ,1,7
77,6/1/2021,15/01/2021,smckerley18@whitehouse.gov,Complete,Regular,$5 ,"$3,758 ",0,2
78,3/8/2020,4/8/2020,sdear6v@bizjournals.com,Complete,Regular,$5 ,"$1,980 ",0,7
79,12/10/2022,15/10/2022,ksambrookx@amazon.com,Complete,Regular,$5 ,"$1,390 ",0,5
80,31/07/2022,1/8/2022,stroake1l@biglobe.ne.jp,Complete,Regular,$5 ,$764 ,0,1
81,4/8/2021,8/8/2021,dbruggen5n@gizmodo.com,Complete,Regular,$5 ,"$1,797 ",0,1
82,11/4/2021,21/04/2021,bchrstine65@bluehost.com,Complete,Regular,$5 ,$842 ,1,2
83,24/10/2021,2/11/2021,mhuwsr@mit.edu,Complete,Regular,$5 ,"$3,226 ",0,5
84,22/05/2021,27/05/2021,bluterf@virginia.edu,Complete,Regular,$5 ,"$2,202 ",0,7
85,6/4/2022,17/04/2022,smacdiarmid1g@pagesperso-orange.fr,Cancelled,Regular,$5 ,"$3,571 ",1,2
86,22/05/2022,24/05/2022,bluterf@virginia.edu,Complete,Regular,$5 ,"$2,976 ",0,1
87,30/07/2020,6/8/2020,lbonnar1@mac.com,Complete,Regular,$5 ,"$2,603 ",0,2
88,27/12/2022,29/12/2022,smckerley18@whitehouse.gov,Complete,Fast,$10 ,"$2,054 ",0,4
89,20/07/2020,31/07/2020,lguilletonz@huffingtonpost.com,Cancelled,Regular,$5 ,$253 ,1,6
90,1/12/2020,12/12/2020,fstallybrass4@blogger.com,Cancelled,Regular,$5 ,"$2,224 ",1,2
91,15/06/2021,20/06/2021,pbracher56@soup.io,Complete,Regular,$5 ,"$2,017 ",0,7
92,28/02/2022,13/03/2022,brodnight63@ycombinator.com,Cancelled,Regular,$5 ,$393 ,1,3
93,9/6/2020,11/6/2020,hdalglish23@cnet.com,Complete,Fast,$10 ,$933 ,0,6
94,16/11/2022,26/11/2022,jluxford1c@yahoo.com,Complete,Regular,$5 ,$499 ,1,1
95,8/7/2022,19/07/2022,dbruggen5n@gizmodo.com,Refund,Regular,$5 ,$41 ,1,2
96,11/9/2022,13/09/2022,itomaini2g@usa.gov,Complete,Fast,$10 ,$855 ,0,7
97,11/8/2021,14/08/2021,lramsay69@fema.gov,Complete,Regular,$5 ,$711 ,0,3
98,15/04/2021,16/04/2021,jlewton1n@goodreads.com,Complete,Regular,$5 ,$96 ,0,7
99,17/08/2021,20/08/2021,smckerley18@whitehouse.gov,Complete,Regular,$5 ,"$1,012 ",0,7
100,12/12/2020,24/12/2020,gbanford9@so-net.ne.jp,Cancelled,Regular,$5 ,"$1,061 ",1,6
101,8/1/2023,10/1/2023,ahallbord6o@uiuc.edu,Complete,Regular,$5 ,$331 ,0,7
102,4/5/2023,7/5/2023,mdrieu61@godaddy.com,Complete,Fast,$10 ,"$1,269 ",0,2
103,10/4/2023,18/04/2023,cluxon5j@posterous.com,Complete,Regular,$5 ,"$1,959 ",0,2
104,9/9/2022,18/09/2022,wperassi6c@live.com,Complete,Regular,$5 ,"$1,766 ",0,6
105,10/3/2022,18/03/2022,cmeric1p@netvibes.com,Complete,Regular,$5 ,"$1,426 ",0,2
106,8/4/2021,21/04/2021,ppoundford1u@cocolog-nifty.com,Cancelled,Regular,$5 ,$818 ,1,4
107,8/7/2022,12/7/2022,ptangyew@gnu.org,Complete,Regular,$5 ,$272 ,0,2
108,30/11/2020,7/12/2020,epatullo3w@paypal.com,Complete,Regular,$5 ,$149 ,0,2
109,9/5/2022,19/05/2022,alauritzena@hostgator.com,Complete,Regular,$5 ,"$1,914 ",1,2
110,13/08/2021,16/08/2021,ecable2k@taobao.com,Complete,Fast,$10 ,$117 ,0,1
111,19/09/2021,1/10/2021,gdesaur2p@businesswire.com,Cancelled,Regular,$5 ,"$2,208 ",1,7
112,3/8/2022,11/8/2022,fbalcon2y@state.tx.us,Complete,Regular,$5 ,"$2,160 ",0,2
113,15/09/2022,29/09/2022,btatam3g@cpanel.net,Refund,Regular,$5 ,"$1,342 ",1,7
114,23/03/2021,3/4/2021,lramsay69@fema.gov,Cancelled,Regular,$5 ,"$1,071 ",1,2
115,9/11/2020,17/11/2020,fstallybrass4@blogger.com,Complete,Regular,$5 ,$78 ,0,1
116,6/3/2023,14/03/2023,sdear6v@bizjournals.com,Complete,Regular,$5 ,"$1,806 ",0,1
117,24/02/2023,9/3/2023,frichford1h@wired.com,Refund,Regular,$5 ,"$3,389 ",1,3
118,29/04/2021,8/5/2021,jluxford1c@yahoo.com,Complete,Regular,$5 ,"$1,716 ",0,1
119,23/08/2020,5/9/2020,rsherbrooke4e@unesco.org,Refund,Regular,$5 ,$211 ,1,1
120,27/01/2023,29/01/2023,obarok3i@walmart.com,Complete,Regular,$5 ,"$5,708 ",0,7
121,12/12/2020,14/12/2020,pderges3z@apache.org,Complete,Fast,$10 ,"$3,297 ",0,7
122,4/2/2022,8/2/2022,bhearthfield2t@squarespace.com,Complete,Regular,$5 ,$890 ,0,6
123,28/08/2021,5/9/2021,abarnsdall3n@wordpress.com,Complete,Regular,$5 ,"$1,682 ",0,2
124,1/11/2021,10/11/2021,ghollows4d@walmart.com,Complete,Regular,$5 ,"$2,166 ",0,1
125,23/06/2020,3/7/2020,dlorenc14@bigcartel.com,Complete,Regular,$5 ,$379 ,1,5
126,3/12/2021,7/12/2021,jmcilenna5d@deliciousdays.com,Complete,Regular,$5 ,$315 ,0,7
127,13/06/2021,16/06/2021,bsivills3k@yellowbook.com,Complete,Regular,$5 ,$206 ,0,1
128,25/04/2022,6/5/2022,bluterf@virginia.edu,Cancelled,Regular,$5 ,$48 ,1,7
129,30/11/2020,7/12/2020,mdopsond@scribd.com,Complete,Regular,$5 ,"$1,043 ",0,2
130,14/03/2022,25/03/2022,kmcilory6j@archive.org,Refund,Regular,$5 ,"$1,660 ",1,3
131,13/12/2020,27/12/2020,lguilletonz@huffingtonpost.com,Cancelled,Regular,$5 ,$877 ,1,2
132,10/11/2022,11/11/2022,mdyball19@ustream.tv,Complete,Regular,$5 ,"$2,356 ",0,2
133,9/12/2021,23/12/2021,ksolesbury15@behance.net,Cancelled,Regular,$5 ,$722 ,1,5
134,10/10/2020,15/10/2020,lskarman4y@cbslocal.com,Complete,Regular,$5 ,"$1,728 ",0,1
135,23/10/2022,24/10/2022,jgilbert4c@eepurl.com,Complete,Fast,$10 ,$719 ,0,7
136,22/03/2021,24/03/2021,avanderhoog24@myspace.com,Complete,Regular,$5 ,"$1,418 ",0,1
137,28/01/2022,9/2/2022,ezanolli3r@over-blog.com,Cancelled,Regular,$5 ,"$2,044 ",1,2
138,21/03/2022,4/4/2022,blong5z@examiner.com,Cancelled,Regular,$5 ,$86 ,1,1
139,5/6/2021,7/6/2021,rbeckinsale5t@tamu.edu,Complete,Fast,$10 ,"$1,484 ",0,1
140,20/11/2020,24/11/2020,ryanuk1y@123-reg.co.uk,Complete,Regular,$5 ,"$1,261 ",0,7
141,9/7/2021,10/7/2021,mdopsond@scribd.com,Complete,Regular,$5 ,"$1,452 ",0,2
142,7/12/2022,19/12/2022,abragger6e@usatoday.com,Refund,Regular,$5 ,"$1,710 ",1,1
143,8/11/2022,22/11/2022,aharmson4j@reverbnation.com,Cancelled,Regular,$5 ,"$2,520 ",1,3
144,31/05/2020,6/6/2020,nloosmore1f@un.org,Complete,Regular,$5 ,$307 ,0,1
145,29/04/2021,5/5/2021,agummaryn@hatena.ne.jp,Complete,Regular,$5 ,"$2,081 ",0,2
146,1/6/2020,11/6/2020,orakestraw2n@dailymotion.com,Complete,Regular,$5 ,"$2,085 ",1,2
147,15/02/2021,17/02/2021,kbrennenstuhl36@earthlink.net,Complete,Fast,$10 ,$53 ,0,7
148,30/05/2020,1/6/2020,jtootin3p@youku.com,Complete,Fast,$10 ,"$1,532 ",0,1
149,21/03/2021,27/03/2021,fdechelle58@quantcast.com,Complete,Regular,$5 ,$572 ,0,5
150,30/04/2023,1/5/2023,rmccuthais1i@sciencedirect.com,Complete,Regular,$5 ,$95 ,0,7
151,9/3/2023,14/03/2023,ssimeoni1b@cbslocal.com,Complete,Regular,$5 ,$29 ,0,7
152,7/7/2022,14/07/2022,gcrafts60@diigo.com,Complete,Regular,$5 ,"$2,792 ",0,5
153,30/08/2021,1/9/2021,fbalcon2y@state.tx.us,Complete,Fast,$10 ,$45 ,0,2
154,3/3/2021,17/03/2021,gcicci1s@networksolutions.com,Refund,Regular,$5 ,$488 ,1,1
155,15/06/2022,21/06/2022,aharmson4j@reverbnation.com,Complete,Regular,$5 ,"$2,561 ",0,2
156,1/4/2021,6/4/2021,apirnie6@networkadvertising.org,Complete,Regular,$5 ,"$1,503 ",0,2
157,9/1/2021,15/01/2021,aruperto3v@reference.com,Complete,Regular,$5 ,$801 ,0,5
158,25/12/2020,3/1/2021,kstyle33@nbcnews.com,Complete,Regular,$5 ,$648 ,0,7
159,3/4/2022,5/4/2022,wpoltun2f@myspace.com,Complete,Fast,$10 ,$108 ,0,2
160,31/12/2022,9/1/2023,jfillary3a@miitbeian.gov.cn,Complete,Regular,$5 ,"$1,129 ",0,6
161,11/2/2023,19/02/2023,rjacobsohn5l@discuz.net,Complete,Regular,$5 ,$209 ,0,1
162,12/1/2021,21/01/2021,dlorenc14@bigcartel.com,Complete,Regular,$5 ,$620 ,0,6
163,4/9/2021,16/09/2021,bluterf@virginia.edu,Cancelled,Regular,$5 ,$691 ,1,6
164,20/03/2023,2/4/2023,kardernee@blog.com,Cancelled,Regular,$5 ,$274 ,1,2
165,5/12/2021,17/12/2021,cmilne51@hugedomains.com,Refund,Regular,$5 ,"$1,434 ",1,1
166,5/2/2022,11/2/2022,wperassi6c@live.com,Complete,Regular,$5 ,"$2,154 ",0,7
167,15/08/2020,17/08/2020,sdear6v@bizjournals.com,Complete,Fast,$10 ,$916 ,0,6
168,3/8/2021,11/8/2021,acullotey2c@ebay.com,Complete,Regular,$5 ,"$1,202 ",0,2
169,18/07/2020,23/07/2020,atapton5v@dot.gov,Complete,Regular,$5 ,"$1,762 ",0,3
170,1/8/2022,9/8/2022,mwormell6p@typepad.com,Complete,Regular,$5 ,$843 ,0,2
171,15/04/2023,23/04/2023,cluxon5j@posterous.com,Complete,Regular,$5 ,"$1,940 ",0,1
172,18/01/2021,1/2/2021,cbirtles4b@salon.com,Refund,Regular,$5 ,$89 ,1,7
173,20/01/2022,27/01/2022,nhiland4w@state.gov,Complete,Regular,$5 ,$47 ,0,7
174,18/03/2023,19/03/2023,gdesaur2p@businesswire.com,Complete,Regular,$5 ,$669 ,0,4
175,5/10/2022,12/10/2022,jfillary3a@miitbeian.gov.cn,Complete,Regular,$5 ,"$4,547 ",0,2
176,7/6/2022,8/6/2022,eparradine34@thetimes.co.uk,Complete,Regular,$5 ,$901 ,0,1
177,12/5/2022,14/05/2022,lcaudwell2b@technorati.com,Complete,Regular,$5 ,"$1,339 ",0,2
178,2/8/2021,6/8/2021,pmackaile2x@telegraph.co.uk,Complete,Regular,$5 ,"$2,062 ",0,6
179,15/09/2020,22/09/2020,tcoo6w@usnews.com,Complete,Regular,$5 ,$125 ,0,1
180,1/1/2021,4/1/2021,ghollows4d@walmart.com,Complete,Regular,$5 ,"$1,256 ",0,2
181,26/10/2022,30/10/2022,wstukings1w@sourceforge.net,Complete,Regular,$5 ,$320 ,0,5
182,12/7/2022,18/07/2022,alauritzena@hostgator.com,Complete,Regular,$5 ,$22 ,0,7
183,6/6/2022,9/6/2022,vjunkinson3m@soup.io,Complete,Regular,$5 ,$746 ,0,1
184,12/3/2022,22/03/2022,bdobney2@deviantart.com,Complete,Regular,$5 ,"$1,962 ",1,7
185,7/8/2020,20/08/2020,stroake1l@biglobe.ne.jp,Cancelled,Regular,$5 ,"$1,431 ",1,7
186,10/11/2022,13/11/2022,kbrennenstuhl36@earthlink.net,Complete,Fast,$10 ,$369 ,0,2
187,23/01/2022,4/2/2022,kbrennenstuhl36@earthlink.net,Cancelled,Regular,$5 ,$215 ,1,6
188,20/12/2020,29/12/2020,blong5z@examiner.com,Complete,Regular,$5 ,"$1,431 ",0,7
189,23/11/2020,25/11/2020,etimbridge4s@cyberchimps.com,Complete,Fast,$10 ,"$2,226 ",0,2
190,10/5/2021,21/05/2021,dmessitt8@merriam-webster.com,Cancelled,Regular,$5 ,$103 ,1,2
191,5/8/2021,17/08/2021,ecable2k@taobao.com,Refund,Regular,$5 ,$749 ,1,7
192,23/05/2021,25/05/2021,rmeijer5q@freewebs.com,Complete,Regular,$5 ,"$2,587 ",0,2
193,13/05/2021,25/05/2021,scottam3q@aol.com,Cancelled,Regular,$5 ,$361 ,1,1
194,2/2/2021,6/2/2021,brodnight63@ycombinator.com,Complete,Regular,$5 ,$53 ,0,2
195,17/09/2022,30/09/2022,tstracey39@blogspot.com,Refund,Regular,$5 ,$153 ,1,1
196,1/11/2021,14/11/2021,bluterf@virginia.edu,Refund,Regular,$5 ,$334 ,1,5
197,12/7/2022,18/07/2022,blong5z@examiner.com,Complete,Regular,$5 ,"$1,406 ",0,1
198,5/8/2021,12/8/2021,bkenworthey6d@creativecommons.org,Complete,Regular,$5 ,"$1,415 ",0,2
199,8/7/2022,22/07/2022,lcaudwell2b@technorati.com,Cancelled,Regular,$5 ,"$1,985 ",1,2
200,20/10/2022,31/10/2022,egerrit4n@homestead.com,Cancelled,Regular,$5 ,"$2,029 ",1,3
201,4/5/2023,9/5/2023,efassmann6r@sohu.com,Complete,Regular,$5 ,"$1,297 ",0,1
202,15/08/2020,18/08/2020,acullotey2c@ebay.com,Complete,Regular,$5 ,"$1,109 ",0,2
203,5/3/2022,19/03/2022,smckerley18@whitehouse.gov,Cancelled,Regular,$5 ,"$1,729 ",1,2
204,9/7/2021,13/07/2021,vsevin53@typepad.com,Complete,Regular,$5 ,"$3,986 ",0,1
205,11/10/2021,17/10/2021,obarok3i@walmart.com,Complete,Regular,$5 ,"$4,190 ",0,1
206,3/5/2022,15/05/2022,vjunkinson3m@soup.io,Refund,Regular,$5 ,"$3,395 ",1,7
207,15/12/2021,25/12/2021,ecable2k@taobao.com,Complete,Regular,$5 ,$110 ,1,1
208,11/8/2020,14/08/2020,ekik49@icq.com,Complete,Fast,$10 ,$99 ,0,2
209,24/05/2021,29/05/2021,awenderott48@hc360.com,Complete,Regular,$5 ,$107 ,0,5
210,19/09/2022,30/09/2022,ekik49@icq.com,Cancelled,Regular,$5 ,$678 ,1,2
211,14/04/2023,22/04/2023,jlewton1n@goodreads.com,Complete,Regular,$5 ,$364 ,0,1
212,28/06/2021,2/7/2021,rlesser30@geocities.com,Complete,Regular,$5 ,"$2,430 ",0,1
213,18/08/2021,28/08/2021,asillitoe1v@ucsd.edu,Complete,Regular,$5 ,"$2,722 ",1,6
214,8/2/2022,22/02/2022,wstukings1w@sourceforge.net,Cancelled,Regular,$5 ,$296 ,1,7
215,4/3/2022,7/3/2022,pderges3z@apache.org,Complete,Fast,$10 ,$278 ,0,2
216,28/12/2022,8/1/2023,pmackaile2x@telegraph.co.uk,Cancelled,Regular,$5 ,"$1,804 ",1,2
217,14/07/2020,17/07/2020,bsivills3k@yellowbook.com,Complete,Regular,$5 ,"$3,867 ",0,5
218,6/4/2022,15/04/2022,pmackaile2x@telegraph.co.uk,Complete,Regular,$5 ,$86 ,0,7
219,7/2/2023,19/02/2023,bbalcers3j@nymag.com,Refund,Regular,$5 ,$707 ,1,1
220,27/03/2021,29/03/2021,wcaccavari4i@1688.com,Complete,Regular,$5 ,$131 ,0,1
221,6/9/2022,16/09/2022,gteodoro4f@lulu.com,Complete,Regular,$5 ,"$2,240 ",1,6
222,1/11/2021,6/11/2021,fbalcon2y@state.tx.us,Complete,Regular,$5 ,"$1,697 ",0,2
223,20/06/2020,30/06/2020,frevely12@issuu.com,Complete,Regular,$5 ,"$2,815 ",1,7
224,3/11/2022,15/11/2022,epenrice64@aboutads.info,Refund,Regular,$5 ,$335 ,1,2
225,11/7/2020,22/07/2020,asillitoe1v@ucsd.edu,Refund,Regular,$5 ,"$1,358 ",1,2
226,3/1/2022,16/01/2022,smckerley18@whitehouse.gov,Refund,Regular,$5 ,"$1,955 ",1,2
227,20/12/2020,1/1/2021,hpotapczuk1e@yandex.ru,Refund,Regular,$5 ,$351 ,1,5
228,10/2/2022,22/02/2022,mwormell6p@typepad.com,Refund,Regular,$5 ,$67 ,1,7
229,23/05/2020,6/6/2020,frichford1h@wired.com,Cancelled,Regular,$5 ,"$2,365 ",1,7
230,8/12/2020,17/12/2020,astockley2a@theguardian.com,Complete,Regular,$5 ,"$1,732 ",0,2
231,7/8/2020,19/08/2020,astockley2a@theguardian.com,Refund,Regular,$5 ,$930 ,1,1
232,5/11/2020,12/11/2020,hmcvee5c@usgs.gov,Complete,Regular,$5 ,"$1,732 ",0,6
233,1/2/2023,6/2/2023,rhadwinp@ox.ac.uk,Complete,Regular,$5 ,"$1,515 ",0,2
234,22/11/2020,23/11/2020,gteodoro4f@lulu.com,Complete,Regular,$5 ,"$1,426 ",0,7
235,27/09/2022,11/10/2022,mmcconaghyy@zimbio.com,Cancelled,Regular,$5 ,"$2,530 ",1,2
236,30/07/2021,31/07/2021,tstracey39@blogspot.com,Complete,Fast,$10 ,"$1,866 ",0,1
237,2/8/2021,4/8/2021,tfoch5w@pbs.org,Complete,Regular,$5 ,"$1,954 ",0,2
238,25/03/2023,4/4/2023,ghollows4d@walmart.com,Complete,Regular,$5 ,$561 ,1,5
239,16/09/2021,22/09/2021,ezanolli3r@over-blog.com,Complete,Regular,$5 ,$997 ,0,1
240,3/2/2022,4/2/2022,ngreasley5@nsw.gov.au,Complete,Fast,$10 ,"$2,180 ",0,7
241,16/12/2021,17/12/2021,hbacke47@scientificamerican.com,Complete,Fast,$10 ,"$1,449 ",0,4
242,27/07/2020,3/8/2020,ssimko5i@ox.ac.uk,Complete,Regular,$5 ,"$1,726 ",0,6
243,19/09/2021,26/09/2021,dbruggen5n@gizmodo.com,Complete,Regular,$5 ,"$2,101 ",0,1
244,10/2/2022,16/02/2022,kkuzma5h@meetup.com,Complete,Regular,$5 ,"$1,331 ",0,1
245,19/12/2020,2/1/2021,wlait22@bloglovin.com,Refund,Regular,$5 ,$548 ,1,2
246,24/12/2022,2/1/2023,wperassi6c@live.com,Complete,Regular,$5 ,$256 ,0,2
247,22/04/2022,1/5/2022,emcknish4a@scientificamerican.com,Complete,Regular,$5 ,$177 ,0,2
248,7/10/2021,17/10/2021,cmellsop5o@dropbox.com,Complete,Regular,$5 ,$192 ,1,7
249,5/12/2021,18/12/2021,bluterf@virginia.edu,Refund,Regular,$5 ,"$2,893 ",1,2
250,14/10/2022,24/10/2022,caneley40@msn.com,Complete,Regular,$5 ,"$1,564 ",1,1
251,3/12/2022,16/12/2022,owheatleys@free.fr,Refund,Regular,$5 ,"$2,165 ",1,2
252,17/07/2020,31/07/2020,ssimeoni1b@cbslocal.com,Cancelled,Regular,$5 ,"$1,427 ",1,3
253,13/09/2020,20/09/2020,kboolsen5f@engadget.com,Complete,Regular,$5 ,"$1,555 ",0,2
254,15/07/2021,24/07/2021,jpetrelluzzi43@ezinearticles.com,Complete,Regular,$5 ,$330 ,0,2
255,23/10/2021,31/10/2021,sdunnan45@china.com.cn,Complete,Regular,$5 ,"$1,388 ",0,2
256,5/4/2021,18/04/2021,hpotapczuk1e@yandex.ru,Refund,Regular,$5 ,$819 ,1,1
257,3/10/2021,6/10/2021,dpieche1k@wunderground.com,Complete,Regular,$5 ,"$1,473 ",0,2
